"Entidad","Nit Entidad","Departamento Entidad","Ciudad Entidad","OrdenEntidad","Entidad Centralizada","ID del Proceso","Referencia del Proceso","PCI","ID del Portafolio","Nombre del Procedimiento","Descripción del Procedimiento","Fase","Fecha de Publicacion del Proceso","Fecha de Ultima Publicación","Fecha de Publicacion (Fase Planeacion Precalificacion)","Fecha de Publicacion (Fase Seleccion Precalificacion)","Fecha de Publicacion (Manifestacion de Interes)","Fecha de Publicacion (Fase Borrador)","Fecha de Publicacion (Fase Seleccion)","Precio Base","Modalidad de Contratacion","Justificación Modalidad de Contratación","Duracion","Unidad de Duracion","Fecha de Recepcion de Respuestas","Fecha de Apertura de Respuesta","Fecha de Apertura Efectiva","Ciudad de la Unidad de Contratación","Nombre de la Unidad de Contratación","Proveedores Invitados","Proveedores con Invitacion Directa","Visualizaciones del Procedimiento","Proveedores que Manifestaron Interes","Respuestas al Procedimiento","Respuestas Externas","Conteo de Respuestas a Ofertas","Proveedores Unicos con Respuestas","Numero de Lotes","Estado del Procedimiento","ID Estado del Procedimiento","Adjudicado","ID Adjudicacion","CodigoProveedor","Departamento Proveedor","Ciudad Proveedor","Fecha Adjudicacion","Valor Total Adjudicacion","Nombre del Adjudicador","Nombre del Proveedor Adjudicado","NIT del Proveedor Adjudicado","Codigo Principal de Categoria","Estado de Apertura del Proceso","Tipo de Contrato","Subtipo de Contrato","Categorias Adicionales","URLProceso","Codigo Entidad"
"MUNICIPIO DE NEIVA","891180009","Huila","Neiva","Territorial","Centralizada","CO1.REQ.1579323","MNMEIMCPS-027-2020 copia copia","700642036","CO1.BDOS.1532818","MNMEIMCPS-027-2020 copia copia","PRESTAR SERVICIOS FUNERARIOS INTEGRALES PARA LOS ADULTOS MAYORES EN CONDICIÓN DE VULNERABILIDAD DEL SISBEN NIVEL I Y II, EN CUMPLIMIENTO DE LA DIGNIFICACIÓN DE SUS DERECHOS SEGÚN LO ESTABLECIDO EN EL ACUERDO 012 DE 2017 DEL MUNICIPIO DE NEIVA PARA LA ZONA URBANA Y RURAL DEL MUNICIPIO",,,,,,,,,"$50,000,000","Mínima cuantía","Presupuesto inferior al 10% de la menor cuantía","3","Mes(es)","10/06/2020","10/06/2020",,"Neiva","UNIDAD ASESORA DE CONTRATACION","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85171500","Cerrado","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,642,036"
"INSTITUTO DE DEPORTES Y RECREACION DE MEDELLIN","800194096","Antioquia","Medellín","Territorial","Centralizada","CO1.REQ.7944473","6700041643","700774011","CO1.BDOS.7806495","PRESTAR LOS SERVICIOS DE APOYO A LA GESTIÓN COMO FORMADOR (A) PROFESIONAL 2; DE LA ESTRATEGIA INICIACIÓN AL MOVIMIENTO; DEL PROYECTO ESCUELAS POPULARES DEL DEPORTE DE LA SUBDIRECCIÓN DE FOMENTO DEPORT","PRESTAR LOS SERVICIOS DE APOYO A LA GESTIÓN COMO FORMADOR (A) PROFESIONAL 2, DE LA ESTRATEGIA INICIACIÓN AL MOVIMIENTO, DEL PROYECTO ESCUELAS POPULARES DEL DEPORTE DE LA SUBDIRECCIÓN DE FOMENTO DEPORTIVO Y RECREATIVO DEL INDER DE MEDELLÍN",,,,,,,,,"$16,096,667","Contratación directa","Servicios profesionales y apoyo a la gestión","110","día(s)",,,,"Medellín","INDER MEDELLIN","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.86101808","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,774,011"
"E.S.E HOSPITAL DEL ROSARIO","891180039","Huila","Campoalegre","Territorial","Centralizada","CO1.REQ.7380671","CS-033","703670497","CO1.BDOS.7244117","PAPELERIA CARTAGENA S.A.S.","SUMINISTRO PAPELERIA UTILES DE ESCRITORIO Y DEMAS ELEMENTOS E IMPLEMENTOS DE OFICINA PARA LA EMPRESA SOCIAL DEL ESTADO (E.S.E.) HOSPITAL DEL ROSARIO DE CAMPOALEGRE HUILA",,,,,,,,,"$25,703,450","Contratación régimen especial","Decreto 092 de 2017","63","día(s)",,,,"Campoalegre","ESE HOSPITAL DEL ROSARIO DE CAMPOALEGRE HUILA","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","UNSPECIFIED","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","703,670,497"
"ESE HOSPITAL LOCAL DE GALAPA","802007798","Atlántico","Galapa","Corporación Autónoma","Centralizada","CO1.REQ.8147845","OPS-1036-2024","717785208","CO1.BDOS.8006616","OPS-1036-2024","PRESTACION DE SERVICIOS COMO MEDICO DE URGENCIA EN LA ESE CENTRO DE SALUD DE GALAPA",,,,,,,,,"$3,654,000","Contratación régimen especial","Regla aplicable","30","día(s)",,,,"Galapa","GESTION CONTRACTUAL","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","717,785,208"
"FONDO ROTATORIO**","8605110716","Distrito Capital de Bogotá","No Definido","Nacional","Centralizada","CO1.REQ.2959149","LP-002-2022prueba","700251051","CO1.BDOS.2880740","LP-002-2022prueba","CONTRATAR CON UNA O VARIAS COMPAÑÍAS DE SEGUROS LEGALMENTE AUTORIZADAS PARA FUNCIONAR EN EL PAÍS, EL PROGRAMA DE SEGUROS REQUERIDO PARA LA ADECUADA PROTECCIÓN DE LOS BIENES E INTERESES PATRIMONIALES DEL MINISTERIO DE RELACIONES EXTERIORES Y SU FONDO ROTATORIO, ASÍ COMO DE AQUELLOS POR LOS QUE SEA O FUERE LEGALMENTE RESPONSABLE O LE CORRESPONDA ASEGURAR EN VIRTUD DE DISPOSICIÓN LEGAL O CONTRACTUAL A NIVEL NACIONAL",,,,,,,,,"$2,008,315,776","Licitación pública","Ley 1150 de 2007","451","día(s)","04/27/2022","04/27/2022",,"No Aplica","PROCESOS DE CONTRATACION","0","0","0","0","0","0","0","0","3","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.84131500","Cerrado","Seguros","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,251,051"
"HOSPITAL SAN AGUSTIN DE PUERTO MERIZALDE E.S.E/","800155000","Valle del Cauca","Buenaventura","Territorial","Centralizada","CO1.REQ.9541009","OPS-323-2025","718549777","CO1.BDOS.9372708","NEYDA GALLARDO VALOIS","PRESTACION DE SERVICIOS COMO AUXILIAR DE ENFERMERIA BRINDANDO APOYO EN LAS ACTIVIDADES DE VACUNACION   PARA DESARROLLAR LAS ACTIVIDADES CONTEMPLADAS  EN EL CONTRATO INTERADMINSTRATIVO  SSD-2025-200 QUE TIENE COMO OBJETO  EN EL PRESTACIÓN DE SERVICIOS PARA REALIZAR LAS ACTIVIDADES DEL PLAN DE INTERVENCIONES COLECTIVAS (PIC) EN LA ZONA RURAL Y RURAL DISPERSA DEL DISTRITO DE BUENAVENTURA EN EL MARCO DE LOS PROYECTOS 202500000020023 Y 202500000032121",,,,,,,,,"$3,000,000","Contratación régimen especial","Regla aplicable","30","día(s)",,,,"Buenaventura","CONTRATACION","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","718,549,777"
"E.S.E HOSPITAL LOCAL DE CANDELARIA VALLE","891380184","Valle del Cauca","Candelaria","Corporación Autónoma","Centralizada","CO1.REQ.8377045","CA-167-2025","704248053","CO1.BDOS.8229490","SERVICIOS PROFESIONALES COMO ENFERMERA ESPECIALISTA EN GERENCIA DE SERVICIOS DE SALUD; PARA BRINDAR APOYO A LA SUBGERENCIA CIENTIFICA EN ACTIVIDADES ENCAMINADAS AL CUMPLIMIENTO DE LAS COMPETENCIAS ASI","SERVICIOS PROFESIONALES COMO ENFERMERA ESPECIALISTA EN GERENCIA DE SERVICIOS DE SALUD, PARA BRINDAR APOYO A LA SUBGERENCIA CIENTIFICA EN ACTIVIDADES ENCAMINADAS AL CUMPLIMIENTO DE LAS COMPETENCIAS ASISTENCIALES DE LA E.S.E. HOSPITAL LOCAL DE CANDELARIA",,,,,,,,,"$14,000,000","Contratación régimen especial","Regla aplicable","2","Mes(es)",,,,"No Aplica","HOSPITAL CANDELARIA VALLE","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","704,248,053"
"MUNICIPIO DE SIBATE","899999372","Cundinamarca","Sibaté","Territorial","Centralizada","CO1.REQ.4912257","C.COMODATO-002-2023","705187334","CO1.BDOS.4804957","COMODATO","ENTREGAR EN COMODATO O PRESTAMO DE USO EL BIEN INMUEBLE DE PROPIEDAD DEL MUNICIPIO, IDENTIFICADO CON LA CEDULA CATASTRAL N. 00-000-006-0100-000, UBICADO EN LA VEREDA DE ROMERAL",,,,,,,,,"$0","Contratación directa","Prestamo de uso","5","Año(s)",,,,"Sibaté","SECRETARIA GENERAL","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80131801","Abierto","Comodato","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","705,187,334"
"ALCALDIA MUNICIPIO DE LETICIA","899999302","Amazonas","Leticia","Territorial","Centralizada","CO1.REQ.8934641","AAA-032-2025","702823733","CO1.BDOS.8354925","PRESTACIÓN DE SERVICIOS PROFESIONALES DE UN ABOGADO SIN EXPERIENCIA PARA EL APOYO AL AREA JURIDICA EN COBRO COACTIVO Y PERSUASIVO DE LA USPDL","PRESTACIÓN DE SERVICIOS PROFESIONALES DE UN ABOGADO SIN EXPERIENCIA PARA EL APOYO AL AREA JURIDICA EN COBRO COACTIVO Y PERSUASIVO DE LA USPDL",,,,,,,,,"$10,266,667","Contratación régimen especial","Regla aplicable","88","día(s)",,,,"No Aplica","Unidad de Servicios Publicos Domiciliarios de Leticia","0","0","0","0","0","0","0","0","0","En aprobación","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80121610","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","702,823,733"
"Empresa Social del Estado Hospital La Candelaria*","800154347","Magdalena","El Banco","Territorial","Centralizada","CO1.REQ.3610710","1306","703918599","CO1.BDOS.3518208","PRESTACION DE SERVICIOS PROFESIONALES COMO MEDICO GENERAL DEL HOSPITAL LA CANDELARIA E.S.E.","PRESTACION DE SERVICIOS PROFESIONALES COMO MEDICO GENERAL DEL HOSPITAL LA CANDELARIA E.S.E.",,,,,,,,,"$5,280,000","Contratación régimen especial","Regla aplicable","30","día(s)",,,,"El Banco","UDC","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85121500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","703,918,599"
"ESCUELA DE SUBOFICIALES Y NIVEL EJECUTIVO  GONZALO JIMENEZ DE QUESADA","800141206","Cundinamarca","Sibaté","Nacional","Centralizada","CO1.REQ.636954","PN ESJIM CD 025 2018","701695835","CO1.BDOS.616145","PRENDAS MILITARES Y SERVICIO DE SASTRERÍA","ARRENDAMIENTO DE UN ESPACIO DESTINADO PARA PRESTAR EL SERVICIO DE LOCAL COMERCIAL DE PRENDAS MILITARES Y SERVICIO DE SASTRERÍA EXCLUSIVAMENTE, CON UN ÁREA  DE 17.80 METROS CUADRADOS, UBICADO JUNTO A LA OFICINA DE ATENCIÓN AL CIUDADANO",,,,,,,,,"$7,994,099","Contratación directa","Arrendamiento de inmuebles","24","Mes(es)",,,,"Sibaté","ESCUELA DE SUBOFICIALES Y NIVEL EJECUTIVO GONZALO JIMÉNEZ DE QUESADA","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80131502","Abierto","Arrendamiento de inmuebles","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","701,695,835"
"INSTITUCION EDUCATIVA RURAL LA CABAÑA","800187879","Caldas","Manizales","Territorial","Centralizada","CO1.REQ.5088339","40-2023","718389919","CO1.BDOS.4974132","TRANSPORTE ESCOLAR RURAL","No definido",,,,,,,,,"$10,496,000","Contratación régimen especial","Regla aplicable","0","día(s)",,,,"Manizales","FONDO DE SERVICIOS EDUCATIVOS","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.78111800","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","718,389,919"
"(Secretaría Distrital de Integración Social)","8999990619","Distrito Capital de Bogotá","No Definido","Territorial","Centralizada","CO1.REQ.5842224","SDIS-CPS-308131-2024 copia","702271321","CO1.BDOS.5725722","SDIS-CPS-308131-2024 copia","PRESTAR SERVICIOS PROFESIONALES  PARA BRINDAR INFORMACION Y ATENCION A LAS FAMILIAS ATENDIDAS EN EL SERVICIO RESPUESTA SOCIAL, QUE PERMITA IDENTIFICAR LOS TIPOS DE BENEFICIOS A OTORGAR DE ACUERDO A LOS PROCEDIMIETNOS ESTABLECIDOS EN LAS DIFERENTES LOCALIDADES DEL DISTRITO CAPITAL, EN EL MARCO DEL PROYECTO 7749",,,,,,,,,"$46,198,890","Contratación directa","Servicios profesionales y apoyo a la gestión","9","Mes(es)",,,,"Bogotá","SUBDIRECCION DE CONTRATACION","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","702,271,321"
"FONDO FINANCIERO DISTRITAL DE SALUD..","8002469532","Distrito Capital de Bogotá","No Definido","Territorial","Centralizada","CO1.REQ.3528979","ENSAYO","701993388","CO1.BDOS.3437832","467-041000_7904.Prestar Servicios profesionales especializados en la Dirección de Planeación Sectorial; en el proceso de sistematización e integración  herramientas para la  formulación; implementació","467-041000_7904.Prestar Servicios profesionales especializados en la Dirección de Planeación Sectorial, en el proceso de sistematización e integración  herramientas para la  formulación, implementación, seguimiento  y evaluación de los planes, programas y proyectos de inversión, en el marco del Plan de Desarrollo Distrital.",,,,,,,,,"$101,138,667","Contratación directa","Servicios profesionales y apoyo a la gestión","388","día(s)",,,,"Bogotá","SUBDIRECCION DE CONTRATACIÓN","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111700","Abierto","Prestación de servicios","No Definido","V180111500, V180111600","https://community.secop.gov.co/STS/Users/Login/Index","701,993,388"
"ALCALDIA MUNICIPAL DE PAUNA","891801368","Boyacá","Pauna","Territorial","Centralizada","CO1.REQ.5668162","CPS025-2024","704833540","CO1.BDOS.5550333","CPS025-2024","PRESTACIÓN DE SERVICIOS DE APOYO COMO CONDUCTOR DEL CAMIÓN RECOLECTOR DE RESIDUOS SOLIDOS, EN EL MARCO DE LA EJECUCIÓN DEL PLAN DE GESTIÓN INTEGRAL DE RESIDUOS SÓLIDOS EN EL MUNICIPIO DE PAUNA",,,,,,,,,"$9,000,000","Contratación directa","Servicios profesionales y apoyo a la gestión","0","día(s)",,,,"No Aplica","SECRETARIA GENERAL Y DE GOBIERNO","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111612","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","704,833,540"
"DIRECCIÓN NACIONAL DE DERECHO DE AUTOR","8001859292","Distrito Capital de Bogotá","No Definido","Nacional","Centralizada","CO1.REQ.2882629","DNDA-008-2022","700217037","CO1.BDOS.2805830","SERVICIO DE IMPRESIÓN Y FOTOCOPIADO","Prestación de servicios de alquiler de equipos de impresora, fotocopiado y escáner in house, para la Dirección Nacional de Derecho de Autor.",,,,,,,,,"$27,954,400","Mínima cuantía","Presupuesto inferior al 10% de la menor cuantía","8","Mes(es)","02/04/2022","02/04/2022",,"No Aplica","COMPRAS","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80161801","Cerrado","Suministros","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,217,037"
"FISCALÍA GENERAL DE LA NACIÓN NIVEL CENTRAL.","800152783","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.1690769","SP-FGN-MLJF-0001-2021 copia_2","702019308","CO1.BDOS.1640196","SP-FGN-MLJF-0001-2021 copia","El presente consiste en una subasta de prueba (didáctica) en línea con la posibilidad que abre CCE de efectuar subastas de prueba para familiarizarse con el uso del módulo y los cambios aplicados el 19 de septiembre de 2020",,,,,,,,,"$0","Subasta de prueba","No","0","No Especificado",,,,"Bogotá","SUBDIRECCIÓN DE GESTIÓN CONTRACTUAL","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.44101700","Abierto","No Especificado","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","702,019,308"
"INSTITUCION EDUCATIVA JOSÉ RAMON BEJARANO","835000308","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.4458740","2","720250711","CO1.BDOS.4217938","prestación de servicios","MANTENIMIENTO PREVENTIVO Y REPARACIÓN DE AIRES ACONDICIONADOS EN LA SEDE PRINCIPAL DE LA INSTITUCION EDUCATIVA JOSE RAMON BEJARANO",,,,,,,,,"$6,711,600","Contratación régimen especial","Regla aplicable","5","día(s)",,,,"Buenaventura","rectoria","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.72151300","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","720,250,711"
"INSTITUCION EDUCATIVA SAN FRANCISCO","804017335","Santander","Piedecuesta","Territorial","Centralizada","CO1.REQ.8454765","2025-07","718846231","CO1.BDOS.8304866","PI - MANTENIMIENTO Y ADECUACIÓN DE UNIDADES SANITARIAS EN LA SEDE F EL GUAMO EN LA INSTITUCIÓN EDUCATIVA SAN FRANCISCO.","PI - MANTENIMIENTO Y ADECUACIÓN DE UNIDADES SANITARIAS EN LA SEDE F EL GUAMO EN LA INSTITUCIÓN EDUCATIVA SAN FRANCISCO.",,,,,,,,,"$24,999,679","Contratación régimen especial","Decreto 092 de 2017","9","día(s)",,,,"No Aplica","SERGIO RAUL MARTINEZ DELGADO","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.72101500","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","718,846,231"
"SENA DIRECCION GENERAL","899999034","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.1513657","CONVENIO INTERADMINISTRATIVO 002-2020","700098023","CO1.BDOS.1469235","CONVENIO INTERADMINISTRATIVO 002-2020","Aunar esfuerzos técnicos, humanos, académicos, logísticos, científicos e investigativos, entre el Servicio Nacional de Aprendizaje SENA y la Universidad del Valle, con el fin que los convenientes se beneficien mutuamente de los programas de bienestar y capacitación, formación continua y emprendimiento.",,,,,,,,,"$0","Contratación directa","Contratos o convenios Interadministrativos (valor cero)","5","Año(s)",,,,"Bogotá","Grupo de Gestión de Convenios","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.86121702","Abierto","Otro","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,098,023"
"MINSALUD","900474727","Distrito Capital de Bogotá","No Definido","Nacional","Centralizada","CO1.REQ.377912","MSPS-SMC-002-2018","700637051","CO1.BDOS.368430","MINIMA CUANTIA AVISOS Y EDICTOS","Prestar los servicios de publicación de avisos, edictos y demás documentos requeridos por el Ministerio de Salud y Protección Social en diarios de circulación nacional.",,,,,,,,,"$5,000,000","Mínima cuantía","Presupuesto inferior al 10% de la menor cuantía","10","Mes(es)","03/15/2018","03/15/2018",,"Bogotá","UNIDAD DE CONTRATACIÓN GESTIÓN CONTRACTUAL MINSALUD","0","0","9","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.82101504","Cerrado","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,637,051"
"INSTITUTO DE CULTURA, RECREACION Y DEPORTE DE PITALITO","900809150","Huila","Pitalito","Territorial","Centralizada","CO1.REQ.9856910","ICRD-CONT-033-2026","703821967","CO1.BDOS.9689175","PRESTAR LOS SERVICIOS ASISTENCIALES DE APOYO A LA GESTIÓN EN LOS TEMAS RELACIONADOS CON LA COORDINACIÓN DE DEPORTE Y RECREACIÓN; ATENCIÓN A SOLICITUDES; RECOLECCIÓN DATOS PARA INFORME Y ARCHIVO.","PRESTAR LOS SERVICIOS ASISTENCIALES DE APOYO A LA GESTIÓN EN LOS TEMAS RELACIONADOS CON LA COORDINACIÓN DE DEPORTE Y RECREACIÓN, ATENCIÓN A SOLICITUDES, RECOLECCIÓN DATOS PARA INFORME Y ARCHIVO.","Presentación de oferta",,,,,,,,"$14,310,000","Contratación directa","Servicios profesionales y apoyo a la gestión","158","día(s)",,,,"Pitalito","CONTRATACION ICRD","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9702669","703,821,967"
"MINISTERIO DEL DEPORTE","899999306","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.8442724","CD-640-2025","700613045","CO1.BDOS.8293123","Prestar los servicios profesionales como apoyo jurídico en respuestas a derechos de petición y en procesos contractuales de la Dirección de Fomento y Desarrollo","Prestar los servicios profesionales como apoyo jurídico en respuestas a derechos de petición y en procesos contractuales de la Dirección de Fomento y Desarrollo",,,,,,,,,"$45,500,000","Contratación directa","Servicios profesionales y apoyo a la gestión","202","día(s)",,,,"No Aplica","DESPACHO DEL MINISTRO - MINISTERIO DEL DEPORTE","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,613,045"
"MINISTERIO DEL INTERIOR","830114475","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.8860632","CD-1876-2025 copia","700583222","CO1.BDOS.8702835","CD-1876-2025 copia","Prestar sus servicios profesionales para apoyar a la Dirección para la Democracia, la Participación Ciudadana y la Acción Comunal, en la estructuración de los lineamientos de la política pública de Acción Comunal, en cumplimiento a lo establecido en el artículo 84 de la Ley 2166 del 2021",,,,,,,,,"$48,000,000","Contratación directa","Servicios profesionales y apoyo a la gestión","0","Mes(es)",,,,"Bogotá","SUBDIRECCION DE GESTION CONTRACTUAL","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,583,222"
"SERVICIO AEREO A TERRITORIOS NACIONALES S.A.","8999991434","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.8546904","CA 235 2023 9","712019876","CO1.BDOS.8395364","Compra de material aeronáutico","No definido",,,,,,,,,"$5,997,600","Contratación régimen especial","Regla aplicable","3","Mes(es)",,,,"Bogotá","Dirección Técnica","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.25201500","Abierto","Suministros","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","712,019,876"
"CONTRALORIA DE BOGOTA","800245133","Distrito Capital de Bogotá","Bogotá","Territorial","Descentralizada","CO1.REQ.10084841","CB-CD-520-2026","702516691","CO1.BDOS.9916585","FERNANDO ALBERTO CASTRO CABALLERO","Prestación de servicios profesionales especializados para apoyar la gestión de la Dirección de Apoyo al Despacho de la Contraloría de Bogotá D.C., en el marco del Proyecto de Inversión 8051 meta 3",,,,,,,,,"$48,000,000","Contratación directa","Servicios profesionales y apoyo a la gestión","6","Mes(es)",,,,"No Aplica","Contraloria de Bogotá - Subdireccion de Contratación","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80161500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","702,516,691"
"INSTITUCION EDUCATIVA RURAL LA CABAÑA","800187879","Caldas","Manizales","Territorial","Centralizada","CO1.REQ.7584459","70-2024","718389919","CO1.BDOS.7134738","TRANSPORTE ESCOLAR RURAL","No definido",,,,,,,,,"$4,995,000","Contratación régimen especial","Regla aplicable","0","día(s)",,,,"Manizales","FONDO DE SERVICIOS EDUCATIVOS","0","0","0","0","0","0","0","0","0","Aprobado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.78111800","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","718,389,919"
